<--LintFilePartition-->
filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,474,[474]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,491,[491]
/repository/tests/template_tests/test_loaders.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o222 on file (tmppath).,361,[361]
/repository/tests/template_tests/test_response.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",171,[171]
/repository/tests/template_tests/test_response.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",198,[198]
/repository/tests/template_tests/test_response.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",211,[211]
/repository/tests/template_tests/test_response.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",286,[286]
/repository/tests/template_tests/test_response.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",318,[318]
/repository/tests/test_client/views.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,81,[81]
/repository/tests/timezones/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,690,[690]
/repository/tests/utils_tests/test_lazyobject.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",192,[192]
/repository/tests/utils_tests/test_lazyobject.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",429,[429]
/repository/tests/utils_tests/test_lazyobject.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",446,[446]
/repository/tests/utils_tests/test_lazyobject.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",447,[447]
/repository/tests/utils_tests/test_timezone.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",114,[114]
/repository/tests/utils_tests/test_timezone.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",115,[115]
/repository/tests/validation/test_picklable.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",11,[11]
/repository/tests/validation/test_picklable.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",17,[17]
/repository/tests/validation/test_picklable.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",23,[23]
/repository/tests/validation/test_picklable.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",28,[28]
/repository/tests/validation/test_picklable.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",33,[33]
/repository/tests/validation/test_picklable.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",40,[40]
